año,Folio,Género,Edad,Municipio de residencia,Estado ,Pais,Grado máximo de estudios,Ocupación,1. ¿En dónde percibe Usted que existe más corrupción? (seleccione 1),4. ¿Con qué frecuencia ha participado en actos de corrupción,4. ¿Con qué frecuencia he experimentado en un acto de corrupción?(seleccione 1),Identificación qué es corrupción [N5. La corrupción es que un servidor público se aproveche de su poder para obtener un beneficio propio],Identificación qué es corrupción [N6. La corrupción es que un particular se aproveche de su poder para obtener un beneficio propio],Identificación qué es corrupción [N7. Para que exista corrupción se requiere del corrupto y del corruptor],Identificación qué es corrupción [N8. Corrupción es que un particular soborne al servidor público],Identificación qué es corrupción [N9. Me queda claro qué es la corrupción],Prom Ident,Causas de la corrupción [N10. La ambición es la causa de la corrupción],Causas de la corrupción [N11. La falta de ética es causa de la corrupción],Causas de la corrupción [N12. Los vínculos de los servidores públicos con los delincuentes son causa de la corrupción],Causas de la corrupción [N13. La falta de sanciones a servidores públicos corruptos hace que la corrupción siga creciendo],Causas de la corrupción [N14. La corrupción es causada por intereses políticos],Causas de la corrupción [N15. La corrupción es causada por intereses personales],Combate [N16. La corrupción hace que existan menos recursos públicos para atender programas sociales],Promedio comb,Acciones para combatir la corrupción [N17. Para disminuir la corrupción es necesario sancionar a los corruptores],Acciones para combatir la corrupción [N18. Para disminuir la corrupción es necesario sancionar a los corruptos],Acciones para combatir la corrupción [N19. Para disminuir la corrupción es necesario incorporar en el sistema educativo materias para educar en una cultura anticorrupción],Acciones para combatir la corrupción [N20. Para disminuir la corrupción es necesario incentivar/motivar la denuncia],Acciones para combatir la corrupción [N21. Para disminuir la corrupción es necesario fortalecer los canales para la denuncia anónima],Acciones para combatir la corrupción [N22. Para disminuir la corrupción es necesario proteger al denunciante],Acciones para combatir la corrupción [N23. Para disminuir la corrupción es necesario dar a conocer los canales de denuncia],Acciones para combatir la corrupción [N24. Para disminuir la corrupción es necesario que la ciudadanía vigile el actuar de la autoridad],Acciones para combatir la corrupción [N25. Para disminuir la corrupción es necesario crear canales accesibles de denuncia],Prom acciones,2. ¿Ha participado en un acto de corrupción?,3. ¿Qué actores deben combatir la corrupción? [a. El Pre1dente de la República es la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [b. El Gobernador es la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [c. El Pre1dente Municipal es la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [d. Yo soy la persona que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [e. Los trán1tos son las personas que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [f. La ciudadanía es quien debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [g. Los policías son las personas que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [h. Los diputados locales y federales son las personas que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [i. Los senadores son las personas que deben de combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [j. Los empresarios son las personas que debe combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [k. Los medios de comunicación son los que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [l. Los académicos e investigadores son los que deben combatir la corrupción],3. ¿Qué actores deben combatir la corrupción? [m. El Comité de Participación Ciudadana del 1stema Estatal debe combatir la corrupción]
2020,15,Hombre,34,Silao de la Victoria,Guanajuato,México,Maestría,Trabajador ,En las autoridades estatales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,5,4,4,3,3,3,5,3.86,4,4,5,5,5,5,5,5,5,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,16,Hombre,45,León de los aldamas,Guanajuato,México,Licenciatura,Empresario,En todas las anteriores,En algunas ocasiones he participado en actos de corrupción,perdidos,5,5,5,5,5,5,3,4,4,4,4,4,3,3.71,5,5,5,5,5,5,5,5,5,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,17,Hombre,28,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Nunca he experimentado la corrupción,5,3,5,5,5,4.6,5,5,3,3,3,5,5,4.14,3,3,5,5,5,5,5,5,5,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,18,Mujer,43,León de los aldamas,Guanajuato,México,Maestría,Empresario,En las autoridades federales,No he participado en actos de corrupción,perdidos,5,2,5,3,4,3.8,5,5,2,5,5,5,2,4.14,5,5,4,4,4,4,4,5,4,4.3,0,1,1,1,0,0,0,0,1,1,0,0,0,0
2020,19,Mujer,53,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En las autoridades municipales,No he participado en actos de corrupción,perdidos,1,1,1,1,1,1,2,1,1,1,1,1,5,1.71,5,5,4,5,5,5,5,5,5,4.9,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,20,Hombre,59,Irapuato,Guanajuato,México,Licenciatura,Empresario,En las autoridades federales,En algunas ocasiones he participado en actos de corrupción,perdidos,5,2,4,4,3,3.6,2,5,3,4,1,1,5,3.00,4,5,5,5,5,5,5,5,5,4.9,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,21,Mujer,35,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Algunas veces he experimentado la corrupción,5,5,5,5,5,5,3,5,4,5,4,3,5,4.14,5,5,5,5,5,4,5,5,5,4.9,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,22,Hombre,35,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,En algunas ocasiones he participado en actos de corrupción,perdidos,5,1,5,5,5,4.2,4,5,1,5,3,5,5,4.00,5,5,5,5,5,5,5,5,5,5.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2020,23,Mujer,24,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En todas las anteriores,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,4,5,5,4.8,3,5,4,5,4,4,5,4.29,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,24,Mujer,43,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En las autoridades estatales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,4,4,4,4,4,4,3,4,5,4,4,4,4,4.00,4,4,4,4,4,4,4,4,4,4.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,25,Mujer,46,San Luis de la Paz,Guanajuato,México,Licenciatura,Trabajador ,En todas las anteriores,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,4,4,4,4,5,4.2,4,4,4,5,4,5,5,4.43,5,5,5,5,5,5,5,5,5,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,26,Hombre,75,León de los aldamas,Guanajuato,México,Secundaria,Trabajador ,En las autoridades federales,No deseo Contestar,Nunca he experimentado la corrupción,4,4,4,4,4,4,1,1,1,1,1,1,4,1.43,4,4,4,4,4,4,4,4,4,4.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,27,Mujer,49,San Luis de la Paz,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No deseo Contestar,Nunca he experimentado la corrupción,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,28,Mujer,45,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,29,Hombre,35,San Luis de la Paz,Guanajuato,México,Preparatoria/bachillerato,Empresario,En las autoridades federales,No deseo Contestar,Algunas veces he experimentado la corrupción,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,3,5,5,5,5,4.8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,30,Hombre,45,San Luis de la Paz,Guanajuato,México,Licenciatura,Trabajador ,En todas las anteriores,No deseo Contestar,Algunas veces he experimentado la corrupción,1,1,1,1,1,1,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,31,Mujer,40,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No he participado en actos de corrupción,perdidos,5,3,5,4,1,3.6,5,5,5,5,5,4,3,4.57,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
2020,32,Hombre,45,Celaya,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No deseo Contestar,Algunas veces he experimentado la corrupción,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1,1.0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
2020,33,Hombre,45,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En todas las anteriores,No deseo Contestar,Es poco usual que experimente actos de corrupción,4,4,4,3,2,3.4,2,5,3,5,3,3,5,3.71,5,5,3,4,4,3,4,3,3,3.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,34,Mujer,48,León de los aldamas,Guanajuato,México,Maestría,Empresario,En los Partidos políticos,No deseo Contestar,Algunas veces he experimentado la corrupción,5,4,5,4,5,4.6,1,5,4,5,5,5,4,4.14,4,5,4,5,3,3,5,5,5,4.3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,35,Mujer,45,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,He experimentado corrupción a diario,5,5,5,5,5,5,5,5,3,5,3,3,5,4.14,5,5,1,3,3,5,5,5,5,4.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,36,Mujer,45,León de los aldamas,Guanajuato,México,Maestría,Empresario,En las autoridades federales,No deseo Contestar,Algunas veces he experimentado la corrupción,4,3,5,5,3,4,4,5,5,5,3,4,5,4.43,5,5,3,5,5,5,5,4,5,4.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,37,Mujer,47,San Miguel de Allende,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,1,1,1,1,1,1,5,1.57,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,38,Hombre,52,San Luis de la Paz,Guanajuato,México,Licenciatura,Trabajador ,En los Partidos políticos,No deseo Contestar,He experimentado corrupción a diario,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,39,Mujer,43,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En los Partidos políticos,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,5,5,5,1,4,4,1,3.57,5,5,5,5,5,5,5,1,5,4.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,40,Hombre,19,León de los aldamas,Guanajuato,México,Licenciatura,Estudiante,En las autoridades federales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,5,5,5,5,5,4,5,4.86,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,41,Mujer,60,León de los aldamas,Guanajuato,México,Licenciatura,Desempleado,En los Partidos políticos,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,4,4,5,5,5,4.6,2,5,3,5,5,4,4,4.00,5,5,4,4,4,5,5,5,5,4.7,0,1,1,1,1,0,1,0,1,1,1,1,0,1
2020,42,Mujer,38,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,1,1,1,1,1,1,1,1,2,1,1,1,1,1.14,1,1,1,1,1,1,1,1,1,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
2020,43,Hombre,74,León de los aldamas,Guanajuato,México,Licenciatura,Empresario,En todas las anteriores,No deseo Contestar,Algunas veces he experimentado la corrupción,5,5,5,1,5,4.2,5,5,4,5,5,5,5,4.86,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,44,Hombre,53,San Luis de la Paz,Guanajuato,México,Licenciatura,Empresario,En las autoridades federales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,3,5,3,5,4.2,5,5,5,5,5,5,5,5.00,5,5,5,1,3,4,4,5,5,4.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,45,Hombre,30,San Luis de la Paz,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades estatales,No he participado en actos de corrupción,perdidos,3,3,3,3,3,3,3,3,3,3,3,3,3,3.00,5,5,3,3,3,3,3,3,3,3.4,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2020,46,Hombre,51,San Luis de la Paz,Guanajuato,México,Licenciatura,Empresario,En todas las anteriores,No deseo Contestar,Nunca he experimentado la corrupción,5,5,5,5,5,5,4,4,4,4,4,4,4,4.00,4,4,4,1,4,4,4,4,4,3.7,0,1,1,1,1,0,1,0,1,1,1,1,1,1
2020,47,Hombre,42,León de los aldamas,Guanajuato,México,Maestría,Empresario,En todas las anteriores,En algunas ocasiones he participado en actos de corrupción,perdidos,5,2,5,5,5,4.4,3,4,5,5,5,5,2,4.14,5,5,4,5,2,5,5,5,5,4.6,1,1,1,1,1,0,1,0,1,1,1,0,1,1
2020,48,Hombre,51,San Luis de la Paz,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades municipales,No deseo Contestar,Algunas veces he experimentado la corrupción,5,5,5,5,5,5,5,5,5,4,3,5,1,4.00,5,5,5,3,5,5,5,5,5,4.8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,49,Hombre,47,Guanajuato,Guanajuato,México,Licenciatura,Trabajador ,En todas las anteriores,No deseo Contestar,Es poco usual que experimente actos de corrupción,5,5,5,5,5,5,5,4,5,5,5,5,4,4.71,5,5,5,4,4,4,4,4,5,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,50,Mujer,46,San Miguel de Allende,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No he participado en actos de corrupción,perdidos,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,51,Mujer,46,León de los aldamas,Guanajuato,México,Preparatoria/bachillerato,Empresario,En las autoridades federales,En algunas ocasiones he participado en actos de corrupción,perdidos,5,5,3,3,5,4.2,5,5,5,5,5,5,4,4.86,5,5,5,5,5,5,5,5,5,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,52,Mujer,62,León de los aldamas,Guanajuato,México,Licenciatura,Jubilado,En todas las anteriores,No he participado en actos de corrupción,perdidos,5,2,5,5,5,4.4,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
2020,53,Hombre,55,Celaya,Guanajuato,México,Licenciatura,Desempleado,En todas las anteriores,No deseo Contestar,Nunca he experimentado la corrupción,4,3,4,4,4,3.8,4,4,4,4,3,4,4,3.86,4,4,4,4,4,4,4,4,4,4.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,54,Hombre,45,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades estatales,No deseo Contestar,Algunas veces he experimentado la corrupción,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,55,Mujer,43,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En los Partidos políticos,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,5,5,5,1,4,4,1,3.57,5,5,5,5,5,5,5,1,5,4.6,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,56,Hombre,47,Irapuato,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades federales,No deseo Contestar,Es poco usual que experimente actos de corrupción,5,5,5,5,5,5,4,5,4,5,3,5,5,4.43,5,5,5,5,5,5,5,4,5,4.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,57,Hombre,36,León de los aldamas,Guanajuato,México,Maestría,Empresario,En las autoridades estatales,No deseo Contestar,He experimentado corrupción a diario,5,5,5,4,5,4.8,1,4,5,4,3,5,5,3.86,5,5,4,3,4,5,5,4,5,4.4,0,1,1,1,1,0,1,0,1,1,1,1,0,0
2020,58,Hombre,58,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En las autoridades federales,No deseo Contestar,Nunca he experimentado la corrupción,5,5,5,5,5,5,5,5,4,5,1,5,5,4.29,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,59,Mujer,44,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No he participado en actos de corrupción,perdidos,5,5,5,5,5,5,4,5,5,5,4,5,5,4.71,5,5,4,5,5,4,5,5,5,4.8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,60,Hombre,61,León de los aldamas,Guanajuato,México,Maestría,Jubilado,En los Partidos políticos,En algunas ocasiones he participado en actos de corrupción,perdidos,4,1,5,3,5,3.6,4,5,3,5,2,3,4,3.71,5,5,5,5,5,5,5,5,5,5.0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
2020,61,Mujer,60,León de los aldamas,Guanajuato,México,Maestría,Jubilado,En las autoridades federales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,4,5,5,5,4,4,4,4.43,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,62,Hombre,49,León de los aldamas,Guanajuato,México,Licenciatura,Trabajador ,En todas las anteriores,No deseo Contestar,Algunas veces he experimentado la corrupción,2,2,2,2,2,2,2,2,2,2,2,2,2,2.00,2,2,2,2,2,2,2,2,2,2.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,63,Hombre,46,San Miguel de Allende,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Algunas veces he experimentado la corrupción,4,4,4,4,4,4,4,4,2,4,2,4,4,3.43,5,5,2,2,2,2,2,2,2,2.7,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2020,64,Hombre,26,Pénjamo,Guanajuato,México,Maestría,Trabajador ,En las autoridades federales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,3,5,5,4.6,4,5,4,5,4,4,5,4.43,5,5,5,5,5,5,5,4,5,4.9,0,1,1,1,1,1,1,1,1,1,0,1,0,1
2020,65,Hombre,35,San Luis de la Paz,Guanajuato,México,Secundaria,Trabajador ,En todas las anteriores,No he participado en actos de corrupción,perdidos,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,4,5,5,5,5,4,5,4.8,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,66,Mujer,45,León de los aldamas,Guanajuato,México,Maestría,Trabajador ,En todas las anteriores,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,67,Mujer,71,León de los aldamas,Guanajuato,México,Carrera técnica o comercial,Jubilado,En las autoridades federales,No deseo Contestar,Me es complicado identificar cuantas veces me he enfrentado a la corrupción,5,2,5,5,5,4.4,5,3,5,5,5,2,5,4.29,5,5,5,4,4,4,4,2,5,4.2,0,1,1,1,0,1,0,1,1,1,0,0,0,0
